Địa phương,Năm,Lớp,Trường,Học sinh,Học sinh nữ,Học sinh dân tộc thiểu số,Giáo viên,Giáo viên nữ,Giáo viên dân tộc thiểu số,Học sinh nam,Giáo viên nam
An Giang,2004,1056,56,48155,22983,1406,1794,764,39,25172,1030
An Giang,2005,1112,55,48697,23419,1670,2062,953,44,25278,1109
An Giang,2006,1125,53,45929,21894,1627,2316,1017,69,24035,1299
An Giang,2007,1577,52,43531,22567,1291,2452,1158,17,20964,1294
An Giang,2008,1056,48,42409,22454,789,2553,1195,27,19955,1358
An Giang,2009,1096,47,41748,22186,1160,2791,1327,57,19562,1464
An Giang,2010,1120,47,41882,22898,1184,2894,1450,59,18984,1444
An Giang,2011,1188,44,43580,23744,1190,2957,1509,60,19836,1448
An Giang,2012,1239,44,45686,24653,702,2901,1482,61,21033,1419
An Giang,2013,1218,43,44006,23321,1353,3045,1554,65,20685,1491
An Giang,2014,1213,42,43195,22852,1576,3014,1551,67,20343,1463
An Giang,2015,1221,42,43040,23237,1620,2992,1539,67,19803,1453
An Giang,2016,1262,42,45393,24728,1694,2877,1462,57,20665,1415
An Giang,2017,1269,42,46222,25012,1649,2963,1519,52,21210,1444
An Giang,2018,1239,42,36691,24973,1566,2863,1522,55,11718,1341
An Giang,2019,1261,43,49558,26569,1667,2931,1525,58,22989,1406
An Giang,2020,1302,43,53061,29048,1875,2954,1546,57,24013,1408
An Giang,2021,1333,43,55498,30270,2074,2939,1551,55,25228,1388
Bà Rịa - Vũng Tàu,2004,753,21,33445,17197,326,1338,1200,0,16248,138
Bà Rịa - Vũng Tàu,2005,836,22,36365,18732,371,1552,977,0,17633,575
Bà Rịa - Vũng Tàu,2006,875,24,37721,18614,444,1600,975,0,19107,625
Bà Rịa - Vũng Tàu,2007,891,25,37568,19953,416,1718,1049,0,17615,669
Bà Rịa - Vũng Tàu,2008,889,25,36578,20306,380,1872,1164,0,16272,708
Bà Rịa - Vũng Tàu,2009,882,25,34678,19575,489,2202,1182,0,15103,1020
Bà Rịa - Vũng Tàu,2010,947,27,35021,19913,595,2020,1259,0,15108,761
Bà Rịa - Vũng Tàu,2011,902,27,34054,19205,554,2068,1289,0,14849,779
Bà Rịa - Vũng Tàu,2012,966,29,35197,19300,579,2043,1309,0,15897,734
Bà Rịa - Vũng Tàu,2013,936,29,31905,17329,537,2136,1376,0,14576,760
Bà Rịa - Vũng Tàu,2014,940,28,30865,17107,677,2127,1375,0,13758,752
Bà Rịa - Vũng Tàu,2015,947,29,30840,17239,662,2094,1326,0,13601,768
Bà Rịa - Vũng Tàu,2016,954,29,31562,17626,686,2093,1326,0,13936,767
Bà Rịa - Vũng Tàu,2017,956,29,32136,17906,674,2082,1320,17,14230,762
Bà Rịa - Vũng Tàu,2018,952,30,34276,19076,664,2066,1314,18,15200,752
Bà Rịa - Vũng Tàu,2019,948,30,34107,18892,765,2003,1307,20,15215,696
Bà Rịa - Vũng Tàu,2020,964,31,35426,19562,782,2055,1352,18,15864,703
Bà Rịa - Vũng Tàu,2021,954,31,35562,19419,765,2110,1399,30,16143,711
Bình Dương,2004,622,4,26432,14435,0,1012,604,0,11997,408
Bình Dương,2005,678,11,28376,15472,0,1145,666,0,12904,479
Bình Dương,2006,686,12,28069,13803,206,1254,725,0,14266,529
Bình Dương,2007,649,14,25265,14428,76,1340,793,0,10837,547
Bình Dương,2008,618,14,22483,13208,37,1402,841,0,9275,561
Bình Dương,2009,610,14,21439,12464,169,1427,847,0,8975,580
Bình Dương,2010,623,17,21905,12507,181,1508,876,0,9398,632
Bình Dương,2011,647,21,21052,12024,86,1534,904,0,9028,630
Bình Dương,2012,648,21,21558,12539,97,1651,1011,0,9019,640
Bình Dương,2013,704,22,22415,12324,185,1692,749,0,10091,943
Bình Dương,2014,739,23,24055,13197,194,1777,1069,0,10858,708
Bình Dương,2015,772,24,25716,14026,314,1779,1114,0,11690,665
Bình Dương,2016,835,24,27882,15668,251,1896,1172,0,12214,724
Bình Dương,2017,851,24,28792,16144,338,1964,1206,0,12648,758
Bình Dương,2018,856,24,30731,17297,455,1854,1198,0,13434,656
Bình Dương,2019,878,23,31829,17978,503,1858,1189,0,13851,669
Bình Dương,2020,907,24,33705,18924,633,1880,1197,0,14781,683
Bình Dương,2021,943,26,34896,19429,785,1884,1210,0,15467,674
Bình Phước,2004,545,16,19056,10071,1296,679,359,16,8985,320
Bình Phước,2005,645,16,26461,12722,1882,1027,647,13,13739,380
Bình Phước,2006,669,17,27322,13494,2274,1108,584,12,13828,524
Bình Phước,2007,694,20,27239,14980,2085,1522,809,27,12259,713
Bình Phước,2008,700,21,27103,15030,2137,1575,859,36,12073,716
Bình Phước,2009,741,21,27351,14170,2166,1610,800,40,13181,810
Bình Phước,2010,743,21,27841,15324,2866,1759,1013,48,12517,746
Bình Phước,2011,775,23,28245,15365,3259,1834,1075,48,12880,759
Bình Phước,2012,800,24,27781,15187,3213,1907,1121,47,12594,786
Bình Phước,2013,799,25,26770,14558,3393,1931,1143,67,12212,788
Bình Phước,2014,815,26,26316,14211,3216,2009,1199,74,12105,810
Bình Phước,2015,833,26,26885,14529,3324,2012,1207,76,12356,805
Bình Phước,2016,840,27,27982,15326,3238,2063,1228,70,12656,835
Bình Phước,2017,850,27,28785,15899,3363,2040,1206,70,12886,834
Bình Phước,2018,868,27,28881,15868,3242,2096,1228,76,13013,868
Bình Phước,2019,857,27,29605,16272,3470,2099,1251,82,13333,848
Bình Phước,2020,861,27,31095,16914,3629,2056,1229,83,14181,827
Bình Phước,2021,882,27,32316,17456,4021,1936,1181,78,14860,755
Bình Thuận,2004,790,20,35985,19067,1533,1258,684,47,16918,574
Bình Thuận,2005,918,24,40728,21953,1740,1398,760,62,18775,638
Bình Thuận,2006,964,26,42270,21092,1922,1526,831,66,21178,695
Bình Thuận,2007,975,27,42982,23967,1984,1657,916,83,19015,741
Bình Thuận,2008,1000,25,44454,25033,2161,1744,975,94,19421,769
Bình Thuận,2009,1019,26,44843,25573,2273,1818,1031,115,19270,787
Bình Thuận,2010,1030,26,44701,26203,2409,2032,1175,130,18498,857
Bình Thuận,2011,1018,26,44433,25950,2732,2242,1334,144,18483,908
Bình Thuận,2012,1091,27,43665,25189,2695,2605,1541,158,18476,1064
Bình Thuận,2013,1068,26,39074,22486,2613,2526,1500,166,16588,1026
Bình Thuận,2014,979,26,35737,20595,2232,2499,1496,169,15142,1003
Bình Thuận,2015,949,25,34089,19709,2185,2454,1473,169,14380,981
Bình Thuận,2016,938,25,33714,19565,2048,2388,1434,164,14149,954
Bình Thuận,2017,935,25,33387,19440,2012,2352,1412,161,13947,940
Bình Thuận,2018,939,25,33712,19509,2013,2293,1390,164,14203,903
Bình Thuận,2019,908,25,35333,20422,2000,2258,1368,166,14911,890
Bình Thuận,2020,940,25,37197,21277,2108,2213,1353,160,15920,860
Bình Thuận,2021,951,25,38160,21668,2235,2206,1345,159,16492,861
Bình Định,2004,1151,29,53696,25152,562,1623,781,0,28544,842
Bình Định,2005,1253,31,57410,28360,643,1734,853,0,29050,881
Bình Định,2006,1349,32,63213,30694,869,1845,877,0,32519,968
Bình Định,2007,1464,40,69407,35231,945,2109,1026,0,34176,1083
Bình Định,2008,1571,39,74793,38183,1063,2330,1185,0,36610,1145
Bình Định,2009,1567,45,75461,39530,1111,2409,1216,0,35931,1193
Bình Định,2010,1561,47,73563,39694,1120,2542,1311,0,33869,1231
Bình Định,2011,1518,47,71050,36920,1589,2498,1293,0,34130,1205
Bình Định,2012,1516,47,67540,35926,1218,2682,1329,0,31614,1353
Bình Định,2013,1423,48,61117,31580,1146,2696,1372,59,29537,1324
Bình Định,2014,1351,50,55825,30105,1186,2654,1426,23,25720,1228
Bình Định,2015,1322,50,52764,28779,1103,2691,1464,24,23985,1227
Bình Định,2016,1341,50,53558,29288,1142,2702,1476,28,24270,1226
Bình Định,2017,1342,50,52685,28811,1096,2675,1439,27,23874,1236
Bình Định,2018,1321,50,52172,28634,1107,2574,1392,28,23538,1182
Bình Định,2019,1332,50,52832,28819,1201,2452,1344,29,24013,1108
Bình Định,2020,1322,50,54087,29586,1275,2395,1317,29,24501,1078
Bình Định,2021,1336,51,54676,29724,1351,2477,1390,29,24952,1087
Bạc Liêu,2004,412,9,17365,6905,964,509,208,10,10460,301
Bạc Liêu,2005,448,9,18772,8439,899,770,327,27,10333,443
Bạc Liêu,2006,458,11,19281,8854,1021,966,405,32,10427,561
Bạc Liêu,2007,452,11,18420,8700,979,874,394,39,9720,480
Bạc Liêu,2008,428,11,16926,8263,869,917,414,40,8663,503
Bạc Liêu,2009,401,11,15329,7766,760,868,395,40,7563,473
Bạc Liêu,2010,386,12,14650,7628,699,856,396,45,7022,460
Bạc Liêu,2011,389,12,15211,7779,791,835,388,44,7432,447
Bạc Liêu,2012,378,12,15124,7793,810,862,394,44,7331,468
Bạc Liêu,2013,356,15,14333,7222,760,829,399,42,7111,430
Bạc Liêu,2014,353,14,14175,7154,759,818,388,42,7021,430
Bạc Liêu,2015,370,14,14674,7510,815,826,386,43,7164,440
Bạc Liêu,2016,389,14,15705,8130,1117,815,391,48,7575,424
Bạc Liêu,2017,403,15,16324,8457,1224,814,387,53,7867,427
Bạc Liêu,2018,410,15,31954,8789,1197,783,380,60,23165,403
Bạc Liêu,2019,421,15,17534,9204,1307,780,372,66,8330,408
Bạc Liêu,2020,439,14,18157,9466,1414,777,378,68,8691,399
Bạc Liêu,2021,439,14,18204,9412,1511,769,383,71,8792,386
Bắc Giang,2004,1293,41,63120,28136,5321,2375,1188,71,34984,1187
Bắc Giang,2005,1364,43,69627,32308,6016,2467,1247,79,37319,1220
Bắc Giang,2006,1478,46,72320,36021,6720,2552,1595,79,36299,957
Bắc Giang,2007,1578,47,67297,32759,5867,2635,1452,85,34538,1183
Bắc Giang,2008,1383,46,60231,30822,6267,2772,1499,119,29409,1273
Bắc Giang,2009,1345,49,56306,28831,5762,2673,1571,113,27475,1102
Bắc Giang,2010,1239,48,55463,31184,6837,2798,1786,171,24279,1012
Bắc Giang,2011,1228,48,53554,30250,6789,2723,1739,190,23304,984
Bắc Giang,2012,1229,48,51633,28244,6698,2846,1859,210,23389,987
Bắc Giang,2013,1210,48,50176,28170,7047,2797,1851,242,22006,946
Bắc Giang,2014,1204,45,48748,27307,7146,2711,1785,219,21441,926
Bắc Giang,2015,1203,43,49193,27646,7323,2668,1782,223,21547,886
Bắc Giang,2016,1213,43,49868,27843,7493,2783,1887,261,22025,896
Bắc Giang,2017,1222,43,50667,27973,7675,2746,1877,248,22694,869
Bắc Giang,2018,1238,44,51101,27911,7946,2668,1890,276,23190,778
Bắc Giang,2019,1249,44,51661,10550,9363,2732,1903,304,41111,829
Bắc Giang,2020,1273,44,52736,28037,8044,2726,1923,308,24699,803
Bắc Giang,2021,1286,44,53535,28303,8256,2766,1945,319,25232,821
Bắc Kạn,2004,278,8,13429,7029,11641,413,266,285,6400,147
Bắc Kạn,2005,296,8,13538,7212,11616,480,316,308,6326,164
Bắc Kạn,2006,303,9,13032,5994,11265,493,325,308,7038,168
Bắc Kạn,2007,289,9,11233,5577,9711,474,261,292,5656,213
Bắc Kạn,2008,247,9,10318,5055,7841,610,371,450,5263,239
Bắc Kạn,2009,263,9,10090,5855,9749,636,436,429,4235,200
Bắc Kạn,2010,291,10,9994,5609,8874,594,404,420,4385,190
Bắc Kạn,2011,255,11,9773,5284,8792,579,396,450,4489,183
Bắc Kạn,2012,248,11,8789,4777,7803,573,387,480,4012,186
Bắc Kạn,2013,244,11,8166,4407,7343,557,381,401,3759,176
Bắc Kạn,2014,239,11,7920,4214,7155,537,366,399,3706,171
Bắc Kạn,2015,239,11,7960,4177,7185,500,343,379,3783,157
Bắc Kạn,2016,218,11,7889,4102,6767,525,361,359,3787,164
Bắc Kạn,2017,217,11,7776,4020,6947,517,353,390,3756,164
Bắc Kạn,2018,212,10,7507,3935,6714,478,340,366,3572,138
Bắc Kạn,2019,208,10,7587,4063,6768,474,326,342,3524,148
Bắc Kạn,2020,203,10,7628,4099,6843,472,335,352,3529,137
Bắc Kạn,2021,203,10,7811,4231,7056,454,320,338,3580,134
Bắc Ninh,2004,966,29,47238,23008,0,2000,1163,0,24230,837
Bắc Ninh,2005,1025,34,50951,24958,0,2151,1247,0,25993,904
Bắc Ninh,2006,1076,35,53028,26574,0,2370,1411,0,26454,959
Bắc Ninh,2007,1099,36,51570,26540,0,2510,1505,0,25030,1005
Bắc Ninh,2008,1073,37,47999,25562,0,2495,1833,0,22437,662
Bắc Ninh,2009,1027,37,45313,21177,0,2421,1516,0,24136,905
Bắc Ninh,2010,989,37,44716,23699,0,2429,1602,0,21017,827
Bắc Ninh,2011,971,36,42198,22046,0,2231,1433,0,20152,798
Bắc Ninh,2012,966,35,40620,21571,0,2252,1546,0,19049,706
Bắc Ninh,2013,946,35,39129,20780,0,2210,1506,0,18349,704
Bắc Ninh,2014,924,35,37697,20326,0,2230,1543,0,17371,687
Bắc Ninh,2015,930,35,38217,20423,0,2284,1622,0,17794,662
Bắc Ninh,2016,923,35,38254,20046,0,2285,1662,0,18208,623
Bắc Ninh,2017,951,35,39356,20687,0,2312,1686,0,18669,626
Bắc Ninh,2018,897,34,38340,20539,24,2096,1579,0,17801,517
Bắc Ninh,2019,988,34,41007,16807,1364,2012,1472,0,24200,540
Bắc Ninh,2020,1020,37,32292,17672,1418,2124,1576,0,14620,548
Bắc Ninh,2021,1048,35,43302,21920,88,2114,1576,0,21382,538
Bến Tre,2004,1066,40,43476,23001,0,1548,836,0,20475,712
Bến Tre,2005,1052,40,44549,24051,0,1615,870,0,20498,745
Bến Tre,2006,1033,40,42571,20583,0,1727,938,0,21988,789
Bến Tre,2007,984,41,40867,22635,0,1840,1088,0,18232,752
Bến Tre,2008,939,30,38857,22096,0,1861,1029,0,16761,832
Bến Tre,2009,933,31,38753,22173,0,1903,1065,0,16580,838
Bến Tre,2010,914,31,37240,21452,0,1989,1108,0,15788,881
Bến Tre,2011,869,31,35203,20423,0,1890,1053,0,14780,837
Bến Tre,2012,842,31,34155,19739,0,1929,1076,0,14416,853
Bến Tre,2013,800,32,31239,17829,0,1924,1067,0,13410,857
Bến Tre,2014,795,32,30700,17567,0,1889,1062,0,13133,827
Bến Tre,2015,787,32,30559,17568,0,1876,1064,0,12991,812
Bến Tre,2016,785,33,31661,18388,0,1857,1050,0,13273,807
Bến Tre,2017,781,33,31835,18573,0,1812,1024,0,13262,788
Bến Tre,2018,798,34,23203,19443,75,1803,1024,0,3760,779
Bến Tre,2019,797,34,33402,19443,90,1807,1023,0,13959,784
Bến Tre,2020,800,35,33806,19291,75,1748,987,0,14515,761
Bến Tre,2021,765,35,32201,18387,94,1746,990,0,13814,756
Cao Bằng,2004,476,13,20067,10617,18856,599,415,491,9450,184
Cao Bằng,2005,523,17,23386,11943,22104,599,423,464,11443,176
Cao Bằng,2006,556,16,23816,11041,22735,784,537,632,12775,247
Cao Bằng,2007,518,17,21683,11821,19932,858,611,693,9862,247
Cao Bằng,2008,523,20,20402,11964,19720,969,677,792,8438,292
Cao Bằng,2009,462,21,16971,9933,16378,1004,659,790,7038,345
Cao Bằng,2010,433,21,15574,9068,15043,1008,724,826,6506,284
Cao Bằng,2011,397,22,14147,8397,13064,941,675,780,5750,266
Cao Bằng,2012,408,23,14442,7997,13916,950,584,735,6445,366
Cao Bằng,2013,397,23,13804,7590,13324,964,705,797,6214,259
Cao Bằng,2014,380,23,12926,7074,12436,936,690,772,5852,246
Cao Bằng,2015,371,23,12475,6788,11997,894,664,738,5687,230
Cao Bằng,2016,364,23,12175,6666,11706,885,662,737,5509,223
Cao Bằng,2017,372,24,12406,6676,11928,869,642,737,5730,227
Cao Bằng,2018,377,24,12634,6809,12169,826,629,708,5825,197
Cao Bằng,2019,367,24,12771,6801,12279,816,616,680,5970,200
Cao Bằng,2020,372,24,13037,6852,12426,830,624,696,6185,206
Cao Bằng,2021,378,24,13508,7141,12891,806,615,686,6367,191
Cà Mau,2004,588,13,26428,13341,694,900,405,0,13087,495
Cà Mau,2005,619,15,28679,12990,424,903,372,0,15689,531
Cà Mau,2006,630,18,29632,13600,838,1347,581,0,16032,766
Cà Mau,2007,635,20,27170,13271,526,1258,456,0,13899,802
Cà Mau,2008,620,20,25540,12259,470,1359,489,0,13281,870
Cà Mau,2009,605,20,24501,11760,470,1395,502,0,12741,893
Cà Mau,2010,627,21,24459,12112,467,1420,937,0,12347,483
Cà Mau,2011,622,21,24491,12087,507,1530,703,0,12404,827
Cà Mau,2012,630,23,23905,12666,443,1574,605,0,11239,969
Cà Mau,2013,605,23,22205,10873,95,1594,756,0,11332,838
Cà Mau,2014,657,24,23447,11606,452,1690,819,0,11841,871
Cà Mau,2015,703,25,24779,12322,499,1676,819,0,12457,857
Cà Mau,2016,753,26,27438,13637,510,1676,827,0,13801,849
Cà Mau,2017,785,26,29896,14823,615,1694,848,33,15073,846
Cà Mau,2018,779,26,30500,15913,817,1692,878,38,14587,814
Cà Mau,2019,813,25,33398,16721,896,1796,908,43,16677,888
Cà Mau,2020,817,24,33441,16827,807,1821,929,47,16614,892
Cà Mau,2021,805,23,32243,16102,846,1817,928,48,16141,889
Cần Thơ,2004,589,13,23725,12225,382,761,457,0,11500,304
Cần Thơ,2005,622,15,27322,14010,545,1096,617,0,13312,479
Cần Thơ,2006,671,15,28416,13784,850,1369,727,0,14632,642
Cần Thơ,2007,653,16,27765,14521,636,1254,726,0,13244,528
Cần Thơ,2008,665,16,27858,14709,682,1366,783,0,13149,583
Cần Thơ,2009,676,16,27159,14610,692,1419,842,0,12549,577
Cần Thơ,2010,665,18,26085,14241,722,1530,909,0,11844,621
Cần Thơ,2011,673,20,25789,14294,621,1488,890,0,11495,598
Cần Thơ,2012,698,21,26619,14555,706,1575,924,0,12064,651
Cần Thơ,2013,693,23,25212,13644,627,1727,991,0,11568,736
Cần Thơ,2014,694,22,25068,13293,781,1725,1016,0,11775,709
Cần Thơ,2015,733,23,26351,14038,810,1872,1110,0,12313,762
Cần Thơ,2016,786,23,28667,15289,868,1835,1101,0,13378,734
Cần Thơ,2017,816,23,29172,15645,975,1813,1088,30,13527,725
Cần Thơ,2018,828,24,18583,16005,987,1794,1087,32,2578,707
Cần Thơ,2019,859,24,31103,16456,1062,1783,1086,35,14647,697
Cần Thơ,2020,887,24,32571,17198,1102,1847,1137,39,15373,710
Cần Thơ,2021,904,24,33164,17360,1149,1896,1175,46,15804,721
Gia Lai,2004,731,26,31265,15834,4984,1147,603,50,15431,544
Gia Lai,2005,845,26,35241,17815,5866,1460,784,60,17426,676
Gia Lai,2006,920,28,35665,15707,5913,1727,954,70,19958,773
Gia Lai,2007,937,31,37399,20003,5605,1834,1041,69,17396,793
Gia Lai,2008,935,34,38131,20896,5946,1956,1114,74,17235,842
Gia Lai,2009,1008,37,38670,21400,5903,2147,1261,94,17270,886
Gia Lai,2010,976,38,41862,23292,3694,2131,1270,125,18570,861
Gia Lai,2011,1022,39,41960,23051,7351,2135,1258,122,18909,877
Gia Lai,2012,1029,40,41592,22727,7467,2132,1286,120,18865,846
Gia Lai,2013,1017,42,40363,21928,8323,2246,1369,138,18435,877
Gia Lai,2014,982,44,38983,21329,8594,2250,1372,141,17654,878
Gia Lai,2015,964,44,38861,21450,8709,2231,1361,125,17411,870
Gia Lai,2016,962,45,38915,22015,8392,2205,1349,143,16900,856
Gia Lai,2017,969,45,39500,22253,8432,2175,1338,142,17247,837
Gia Lai,2018,959,44,40698,22665,8677,2133,1328,144,18033,805
Gia Lai,2019,995,43,42240,23198,9334,2129,1317,147,19042,812
Gia Lai,2020,1027,43,44173,24284,9685,2108,1325,139,19889,783
Gia Lai,2021,1039,43,45889,25029,10536,2081,1306,140,20860,775
Hà Giang,2004,371,16,14925,7669,10398,624,402,180,7256,222
Hà Giang,2005,387,18,16029,7877,11020,723,461,210,8152,262
Hà Giang,2006,399,18,16308,8118,10904,791,514,247,8190,277
Hà Giang,2007,420,18,16290,8115,11382,861,545,219,8175,316
Hà Giang,2008,422,18,16136,8312,11842,969,618,292,7824,351
Hà Giang,2009,437,19,16281,8251,12109,1038,613,281,8030,425
Hà Giang,2010,454,21,16017,8119,11852,1092,635,322,7898,457
Hà Giang,2011,483,22,16377,8054,12642,1062,681,346,8323,381
Hà Giang,2012,491,22,16233,7746,12787,1097,701,369,8487,396
Hà Giang,2013,496,22,16644,7824,10612,1100,703,384,8820,397
Hà Giang,2014,499,22,16489,7637,13312,1088,704,384,8852,384
Hà Giang,2015,506,23,16404,7432,13102,1135,735,409,8972,400
Hà Giang,2016,517,23,15950,7235,12537,1142,742,423,8715,400
Hà Giang,2017,509,22,16025,7522,12453,1116,737,397,8503,379
