Địa phương,Năm,Phổ thông cơ sở,Tiểu học,Trung học,Trung học cơ sở,Trung học phổ thông,Tổng số
Nam Định,2004,,293.0,,245.0,43.0,581.0
Nam Định,2005,,293.0,,245.0,43.0,581.0
Nam Định,2006,,292.0,,245.0,46.0,583.0
Nam Định,2007,,292.0,,245.0,53.0,590.0
Nam Định,2008,,292.0,,245.0,53.0,590.0
Nam Định,2009,,291.0,,245.0,54.0,590.0
Nam Định,2010,,291.0,,245.0,55.0,591.0
Nam Định,2011,,290.0,,246.0,56.0,592.0
Nam Định,2012,,291.0,,246.0,56.0,593.0
Nam Định,2013,,292.0,,246.0,55.0,593.0
Nam Định,2014,,293.0,,242.0,57.0,592.0
Nam Định,2015,,293.0,,242.0,57.0,592.0
Nam Định,2016,,292.0,,237.0,57.0,586.0
Nam Định,2017,,292.0,,237.0,57.0,586.0
Nam Định,2019,,228.0,,229.0,57.0,514.0
Nam Định,2020,0.0,226.0,0.0,226.0,57.0,509.0
Nam Định,2021,,226.0,0.0,226.0,57.0,509.0
Nghệ An,2002,24.0,678.0,1.0,445.0,82.0,1230.0
Nghệ An,2003,26.0,675.0,1.0,446.0,83.0,1231.0
Nghệ An,2004,29.0,631.0,,443.0,84.0,1187.0
Nghệ An,2005,30.0,615.0,1.0,440.0,84.0,1170.0
Nghệ An,2006,28.0,575.0,1.0,436.0,89.0,1129.0
Nghệ An,2007,26.0,565.0,1.0,438.0,89.0,1119.0
Nghệ An,2008,18.0,570.0,,427.0,90.0,1105.0
Nghệ An,2009,24.0,551.0,1.0,405.0,90.0,1071.0
Nghệ An,2010,26.0,542.0,,398.0,90.0,1056.0
Nghệ An,2011,27.0,538.0,1.0,386.0,91.0,1043.0
Nghệ An,2012,24.0,538.0,1.0,388.0,91.0,1042.0
Nghệ An,2013,21.0,541.0,1.0,389.0,90.0,1042.0
Nghệ An,2014,20.0,543.0,1.0,388.0,89.0,1041.0
Nghệ An,2015,18.0,544.0,1.0,393.0,88.0,1044.0
Nghệ An,2016,22.0,542.0,1.0,390.0,89.0,1044.0
Nghệ An,2017,22.0,541.0,1.0,391.0,90.0,1045.0
Nghệ An,2019,25.0,522.0,1.0,377.0,88.0,1013.0
Nghệ An,2020,28.0,504.0,1.0,372.0,89.0,994.0
Nghệ An,2021,31.0,496.0,1.0,370.0,89.0,987.0
Ninh Bình,2002,,155.0,,143.0,23.0,321.0
Ninh Bình,2003,,155.0,,143.0,23.0,321.0
Ninh Bình,2004,,154.0,,143.0,25.0,322.0
Ninh Bình,2005,,154.0,,143.0,25.0,322.0
Ninh Bình,2006,,154.0,,143.0,26.0,323.0
Ninh Bình,2007,,154.0,,144.0,27.0,325.0
Ninh Bình,2008,,153.0,,144.0,27.0,324.0
Ninh Bình,2009,,153.0,,143.0,27.0,323.0
Ninh Bình,2010,,152.0,,143.0,27.0,322.0
Ninh Bình,2011,,151.0,,143.0,27.0,321.0
Ninh Bình,2012,,150.0,,142.0,27.0,319.0
Ninh Bình,2013,,150.0,,142.0,27.0,319.0
Ninh Bình,2014,,150.0,,142.0,27.0,319.0
Ninh Bình,2015,,150.0,,142.0,27.0,319.0
Ninh Bình,2016,,150.0,,142.0,27.0,319.0
Ninh Bình,2017,,152.0,,142.0,27.0,321.0
Ninh Bình,2019,,153.0,,142.0,26.0,321.0
Ninh Bình,2020,2.0,150.0,1.0,139.0,26.0,318.0
Ninh Bình,2021,7.0,146.0,0.0,134.0,27.0,314.0
Ninh Thuận,2002,3.0,127.0,6.0,36.0,4.0,176.0
Ninh Thuận,2003,3.0,132.0,5.0,37.0,4.0,181.0
Ninh Thuận,2004,1.0,136.0,9.0,44.0,4.0,194.0
Ninh Thuận,2005,1.0,137.0,5.0,45.0,6.0,194.0
Ninh Thuận,2006,1.0,138.0,3.0,51.0,9.0,202.0
Ninh Thuận,2007,,140.0,3.0,51.0,9.0,203.0
Ninh Thuận,2008,,141.0,2.0,55.0,13.0,211.0
Ninh Thuận,2009,,146.0,1.0,59.0,15.0,221.0
Ninh Thuận,2010,,146.0,,60.0,18.0,224.0
Ninh Thuận,2011,,147.0,,63.0,18.0,228.0
Ninh Thuận,2012,,149.0,,63.0,19.0,231.0
Ninh Thuận,2013,,152.0,1.0,63.0,19.0,235.0
Ninh Thuận,2014,,152.0,1.0,64.0,18.0,235.0
Ninh Thuận,2015,,152.0,1.0,64.0,18.0,235.0
Ninh Thuận,2016,0.0,153.0,2.0,64.0,17.0,236.0
Ninh Thuận,2017,,152.0,3.0,64.0,17.0,236.0
Ninh Thuận,2019,4.0,142.0,6.0,58.0,15.0,225.0
Ninh Thuận,2020,9.0,135.0,6.0,53.0,15.0,218.0
Ninh Thuận,2021,11.0,133.0,7.0,50.0,15.0,216.0
Phú Thọ,2002,4.0,294.0,1.0,246.0,47.0,592.0
Phú Thọ,2003,6.0,293.0,1.0,247.0,48.0,595.0
Phú Thọ,2004,6.0,293.0,1.0,247.0,48.0,595.0
Phú Thọ,2005,6.0,293.0,1.0,249.0,50.0,599.0
Phú Thọ,2006,5.0,295.0,1.0,249.0,51.0,601.0
Phú Thọ,2007,6.0,296.0,,250.0,53.0,605.0
Phú Thọ,2008,6.0,300.0,,250.0,54.0,610.0
Phú Thọ,2009,5.0,300.0,,252.0,55.0,612.0
Phú Thọ,2010,5.0,300.0,,252.0,47.0,604.0
Phú Thọ,2011,5.0,300.0,1.0,251.0,44.0,601.0
Phú Thọ,2012,6.0,300.0,1.0,253.0,44.0,604.0
Phú Thọ,2013,5.0,300.0,1.0,253.0,44.0,603.0
Phú Thọ,2014,5.0,299.0,1.0,253.0,44.0,602.0
Phú Thọ,2015,5.0,299.0,1.0,254.0,44.0,603.0
Phú Thọ,2016,5.0,299.0,1.0,254.0,43.0,602.0
Phú Thọ,2017,5.0,299.0,2.0,254.0,43.0,603.0
Phú Thọ,2019,8.0,288.0,3.0,248.0,43.0,590.0
Phú Thọ,2020,8.0,285.0,3.0,248.0,43.0,587.0
Phú Thọ,2021,3.0,276.0,3.0,243.0,44.0,569.0
Phú Yên,2002,9.0,147.0,7.0,83.0,17.0,263.0
Phú Yên,2003,9.0,151.0,5.0,88.0,19.0,272.0
Phú Yên,2004,9.0,154.0,4.0,90.0,22.0,279.0
Phú Yên,2005,8.0,157.0,4.0,92.0,22.0,283.0
Phú Yên,2006,10.0,157.0,5.0,92.0,23.0,287.0
Phú Yên,2007,10.0,159.0,6.0,99.0,23.0,297.0
Phú Yên,2008,9.0,162.0,8.0,93.0,23.0,295.0
Phú Yên,2009,7.0,165.0,8.0,96.0,23.0,299.0
Phú Yên,2010,8.0,163.0,8.0,96.0,23.0,298.0
Phú Yên,2011,6.0,170.0,6.0,99.0,25.0,306.0
Phú Yên,2012,6.0,169.0,8.0,100.0,24.0,307.0
Phú Yên,2013,5.0,169.0,8.0,101.0,24.0,307.0
Phú Yên,2014,5.0,167.0,8.0,101.0,26.0,307.0
Phú Yên,2015,5.0,168.0,8.0,101.0,26.0,308.0
Phú Yên,2016,4.0,169.0,8.0,102.0,25.0,308.0
Phú Yên,2017,3.0,169.0,8.0,104.0,25.0,309.0
Phú Yên,2019,40.0,94.0,8.0,65.0,25.0,232.0
Phú Yên,2020,40.0,95.0,8.0,65.0,25.0,233.0
Phú Yên,2021,38.0,96.0,8.0,65.0,25.0,232.0
Quảng Bình,2002,11.0,248.0,6.0,141.0,21.0,427.0
Quảng Bình,2003,11.0,243.0,5.0,144.0,26.0,429.0
Quảng Bình,2004,12.0,240.0,6.0,144.0,26.0,428.0
Quảng Bình,2005,12.0,234.0,6.0,144.0,27.0,423.0
Quảng Bình,2006,14.0,231.0,6.0,144.0,27.0,422.0
Quảng Bình,2007,14.0,209.0,6.0,146.0,27.0,402.0
Quảng Bình,2008,14.0,209.0,5.0,147.0,28.0,403.0
Quảng Bình,2009,15.0,205.0,5.0,148.0,28.0,401.0
Quảng Bình,2010,16.0,207.0,5.0,148.0,27.0,403.0
Quảng Bình,2011,16.0,210.0,6.0,148.0,27.0,407.0
Quảng Bình,2012,17.0,209.0,6.0,148.0,27.0,407.0
Quảng Bình,2013,17.0,210.0,6.0,148.0,27.0,408.0
Quảng Bình,2014,18.0,208.0,6.0,148.0,27.0,407.0
Quảng Bình,2015,18.0,211.0,6.0,148.0,27.0,410.0
Quảng Bình,2016,18.0,210.0,6.0,148.0,27.0,409.0
Quảng Bình,2017,19.0,209.0,6.0,147.0,27.0,408.0
Quảng Bình,2019,27.0,193.0,6.0,138.0,27.0,391.0
Quảng Bình,2020,30.0,189.0,6.0,137.0,26.0,388.0
Quảng Bình,2021,30.0,188.0,6.0,137.0,26.0,387.0
Quảng Nam,2002,27.0,262.0,4.0,161.0,36.0,490.0
Quảng Nam,2003,25.0,261.0,3.0,166.0,37.0,492.0
Quảng Nam,2004,28.0,256.0,2.0,176.0,39.0,501.0
Quảng Nam,2005,24.0,263.0,2.0,184.0,40.0,513.0
Quảng Nam,2006,21.0,266.0,1.0,189.0,42.0,519.0
Quảng Nam,2007,18.0,268.0,,192.0,43.0,521.0
Quảng Nam,2008,21.0,266.0,,194.0,43.0,524.0
Quảng Nam,2009,21.0,270.0,1.0,193.0,46.0,531.0
Quảng Nam,2010,23.0,269.0,1.0,191.0,47.0,531.0
Quảng Nam,2011,22.0,269.0,2.0,193.0,49.0,535.0
Quảng Nam,2012,21.0,272.0,2.0,193.0,50.0,538.0
Quảng Nam,2013,22.0,271.0,4.0,190.0,50.0,537.0
Quảng Nam,2014,20.0,275.0,4.0,195.0,50.0,544.0
Quảng Nam,2015,21.0,274.0,4.0,195.0,50.0,544.0
Quảng Nam,2016,20.0,275.0,4.0,198.0,50.0,547.0
Quảng Nam,2017,21.0,274.0,4.0,197.0,51.0,547.0
Quảng Nam,2019,27.0,246.0,3.0,188.0,51.0,515.0
Quảng Nam,2020,32.0,241.0,5.0,185.0,51.0,514.0
Quảng Nam,2021,37.0,234.0,6.0,179.0,52.0,508.0
Quảng Ngãi,2002,4.0,229.0,9.0,129.0,25.0,396.0
Quảng Ngãi,2003,4.0,229.0,6.0,131.0,26.0,396.0
Quảng Ngãi,2004,3.0,229.0,5.0,134.0,29.0,400.0
Quảng Ngãi,2005,3.0,235.0,5.0,140.0,31.0,414.0
Quảng Ngãi,2006,3.0,232.0,3.0,145.0,33.0,416.0
Quảng Ngãi,2007,2.0,234.0,3.0,153.0,33.0,425.0
Quảng Ngãi,2008,7.0,230.0,3.0,165.0,34.0,439.0
Quảng Ngãi,2009,9.0,228.0,3.0,165.0,33.0,438.0
Quảng Ngãi,2010,13.0,224.0,4.0,165.0,35.0,441.0
Quảng Ngãi,2011,10.0,222.0,4.0,166.0,35.0,437.0
Quảng Ngãi,2012,19.0,218.0,3.0,166.0,36.0,442.0
Quảng Ngãi,2013,20.0,217.0,2.0,161.0,37.0,437.0
Quảng Ngãi,2014,22.0,216.0,2.0,166.0,37.0,443.0
Quảng Ngãi,2015,20.0,218.0,2.0,168.0,37.0,445.0
Quảng Ngãi,2016,20.0,218.0,2.0,168.0,37.0,445.0
Quảng Ngãi,2017,18.0,217.0,2.0,168.0,36.0,441.0
Quảng Ngãi,2019,39.0,166.0,3.0,146.0,36.0,390.0
Quảng Ngãi,2020,50.0,157.0,3.0,133.0,36.0,379.0
Quảng Ngãi,2021,52.0,155.0,4.0,130.0,36.0,377.0
Quảng Ninh,2002,71.0,142.0,7.0,111.0,30.0,361.0
Quảng Ninh,2003,66.0,150.0,4.0,122.0,33.0,375.0
Quảng Ninh,2004,63.0,154.0,7.0,127.0,33.0,384.0
Quảng Ninh,2005,57.0,158.0,5.0,135.0,37.0,392.0
Quảng Ninh,2006,52.0,161.0,6.0,137.0,40.0,396.0
Quảng Ninh,2007,52.0,164.0,5.0,139.0,45.0,405.0
Quảng Ninh,2008,52.0,164.0,8.0,139.0,44.0,407.0
Quảng Ninh,2009,49.0,172.0,8.0,140.0,44.0,413.0
Quảng Ninh,2010,46.0,173.0,9.0,143.0,45.0,416.0
Quảng Ninh,2011,45.0,177.0,7.0,146.0,46.0,421.0
Quảng Ninh,2012,41.0,180.0,11.0,149.0,46.0,427.0
Quảng Ninh,2013,42.0,183.0,11.0,153.0,46.0,435.0
Quảng Ninh,2014,38.0,183.0,10.0,151.0,47.0,429.0
Quảng Ninh,2015,38.0,180.0,10.0,150.0,47.0,425.0
Quảng Ninh,2016,38.0,180.0,12.0,150.0,46.0,426.0
Quảng Ninh,2017,38.0,180.0,12.0,148.0,46.0,424.0
Quảng Ninh,2019,48.0,167.0,17.0,141.0,41.0,414.0
Quảng Ninh,2020,54.0,161.0,17.0,135.0,41.0,408.0
Quảng Ninh,2021,55.0,160.0,16.0,133.0,42.0,406.0
Quảng Trị,2002,13.0,154.0,4.0,92.0,21.0,284.0
Quảng Trị,2003,18.0,150.0,4.0,92.0,23.0,287.0
Quảng Trị,2004,18.0,152.0,3.0,94.0,24.0,291.0
Quảng Trị,2005,19.0,154.0,3.0,98.0,24.0,298.0
Quảng Trị,2006,19.0,156.0,2.0,102.0,25.0,304.0
Quảng Trị,2007,19.0,159.0,1.0,106.0,26.0,311.0
Quảng Trị,2008,18.0,160.0,1.0,108.0,29.0,316.0
Quảng Trị,2009,17.0,162.0,3.0,111.0,29.0,322.0
Quảng Trị,2010,,162.0,,111.0,31.0,304.0
Quảng Trị,2011,,167.0,,116.0,30.0,313.0
Quảng Trị,2012,14.0,166.0,3.0,115.0,30.0,328.0
Quảng Trị,2013,17.0,160.0,3.0,114.0,30.0,324.0
Quảng Trị,2014,18.0,158.0,3.0,113.0,30.0,322.0
Quảng Trị,2015,18.0,155.0,4.0,112.0,29.0,318.0
Quảng Trị,2016,18.0,155.0,4.0,112.0,27.0,316.0
Quảng Trị,2017,18.0,155.0,4.0,112.0,27.0,316.0
Quảng Trị,2019,77.0,70.0,6.0,49.0,25.0,227.0
Quảng Trị,2020,80.0,68.0,9.0,43.0,24.0,224.0
Quảng Trị,2021,80.0,68.0,9.0,42.0,24.0,223.0
Sóc Trăng,2002,13.0,241.0,17.0,77.0,6.0,354.0
Sóc Trăng,2003,13.0,242.0,14.0,84.0,9.0,362.0
Sóc Trăng,2004,10.0,254.0,15.0,90.0,10.0,379.0
Sóc Trăng,2005,8.0,270.0,13.0,94.0,14.0,399.0
Sóc Trăng,2006,7.0,280.0,13.0,95.0,14.0,409.0
Sóc Trăng,2007,6.0,288.0,12.0,98.0,15.0,419.0
Sóc Trăng,2008,4.0,291.0,11.0,100.0,16.0,422.0
Sóc Trăng,2009,5.0,299.0,10.0,102.0,17.0,433.0
Sóc Trăng,2010,5.0,297.0,12.0,101.0,17.0,432.0
Sóc Trăng,2011,3.0,300.0,13.0,103.0,18.0,437.0
Sóc Trăng,2012,2.0,300.0,13.0,111.0,23.0,449.0
Sóc Trăng,2013,3.0,306.0,12.0,110.0,22.0,453.0
Sóc Trăng,2014,1.0,302.0,12.0,113.0,23.0,451.0
Sóc Trăng,2015,3.0,297.0,13.0,111.0,24.0,448.0
Sóc Trăng,2016,4.0,292.0,14.0,110.0,24.0,444.0
Sóc Trăng,2017,4.0,281.0,14.0,110.0,24.0,433.0
Sóc Trăng,2019,6.0,222.0,15.0,106.0,24.0,373.0
Sóc Trăng,2020,15.0,209.0,16.0,95.0,24.0,359.0
Sóc Trăng,2021,16.0,204.0,16.0,94.0,24.0,354.0
Sơn La,2002,100.0,164.0,4.0,115.0,17.0,400.0
Sơn La,2003,90.0,175.0,5.0,136.0,20.0,426.0
Sơn La,2004,76.0,192.0,7.0,149.0,20.0,444.0
Sơn La,2005,50.0,219.0,6.0,178.0,23.0,476.0
Sơn La,2006,38.0,231.0,4.0,192.0,26.0,491.0
Sơn La,2007,27.0,245.0,5.0,204.0,26.0,507.0
Sơn La,2008,22.0,253.0,5.0,209.0,26.0,515.0
Sơn La,2009,15.0,265.0,3.0,221.0,28.0,532.0
Sơn La,2010,13.0,268.0,2.0,223.0,29.0,535.0
Sơn La,2011,10.0,273.0,1.0,228.0,30.0,542.0
Sơn La,2012,,280.0,,229.0,31.0,540.0
Sơn La,2013,8.0,282.0,,231.0,31.0,552.0
Sơn La,2014,8.0,286.0,1.0,231.0,31.0,557.0
Sơn La,2015,8.0,289.0,1.0,231.0,32.0,561.0
Sơn La,2016,9.0,289.0,1.0,230.0,32.0,561.0
Sơn La,2017,10.0,286.0,11.0,220.0,32.0,559.0
Sơn La,2019,146.0,97.0,13.0,81.0,30.0,367.0
Sơn La,2020,146.0,97.0,14.0,80.0,30.0,367.0
Sơn La,2021,146.0,97.0,15.0,80.0,30.0,368.0
TP.Hồ Chí Minh,2002,6.0,435.0,40.0,216.0,63.0,760.0
TP.Hồ Chí Minh,2003,4.0,440.0,41.0,222.0,67.0,774.0
TP.Hồ Chí Minh,2004,3.0,444.0,45.0,223.0,70.0,785.0
TP.Hồ Chí Minh,2005,2.0,457.0,46.0,232.0,72.0,809.0
TP.Hồ Chí Minh,2006,2.0,458.0,46.0,231.0,76.0,813.0
TP.Hồ Chí Minh,2007,2.0,467.0,50.0,231.0,81.0,831.0
TP.Hồ Chí Minh,2008,1.0,467.0,55.0,239.0,81.0,843.0
TP.Hồ Chí Minh,2009,1.0,470.0,68.0,241.0,82.0,862.0
TP.Hồ Chí Minh,2010,6.0,468.0,62.0,245.0,100.0,881.0
TP.Hồ Chí Minh,2011,6.0,470.0,51.0,255.0,132.0,914.0
TP.Hồ Chí Minh,2012,7.0,474.0,64.0,252.0,120.0,917.0
TP.Hồ Chí Minh,2013,5.0,476.0,66.0,255.0,120.0,922.0
TP.Hồ Chí Minh,2014,5.0,482.0,67.0,259.0,125.0,938.0
TP.Hồ Chí Minh,2015,4.0,490.0,67.0,260.0,123.0,944.0
TP.Hồ Chí Minh,2016,4.0,493.0,64.0,266.0,123.0,950.0
TP.Hồ Chí Minh,2017,4.0,489.0,68.0,271.0,120.0,952.0
TP.Hồ Chí Minh,2019,5.0,500.0,76.0,275.0,123.0,979.0
TP.Hồ Chí Minh,2020,6.0,507.0,79.0,277.0,123.0,992.0
TP.Hồ Chí Minh,2021,7.0,514.0,80.0,279.0,124.0,1004.0
Thanh Hóa,2002,,729.0,,650.0,84.0,1463.0
Thanh Hóa,2003,,730.0,,654.0,91.0,1475.0
Thanh Hóa,2004,,729.0,,654.0,92.0,1475.0
Thanh Hóa,2005,,729.0,,652.0,95.0,1476.0
Thanh Hóa,2006,,730.0,,652.0,100.0,1482.0
Thanh Hóa,2007,,729.0,,650.0,101.0,1480.0
Thanh Hóa,2008,,729.0,,649.0,102.0,1480.0
Thanh Hóa,2009,,727.0,,649.0,102.0,1478.0
Thanh Hóa,2010,,728.0,,650.0,104.0,1482.0
Thanh Hóa,2011,,728.0,,650.0,104.0,1482.0
Thanh Hóa,2012,5.0,730.0,3.0,645.0,104.0,1487.0
Thanh Hóa,2013,14.0,731.0,5.0,634.0,101.0,1485.0
Thanh Hóa,2014,14.0,710.0,6.0,633.0,101.0,1464.0
Thanh Hóa,2015,13.0,709.0,6.0,636.0,101.0,1465.0
Thanh Hóa,2016,19.0,698.0,6.0,629.0,100.0,1452.0
Thanh Hóa,2017,29.0,677.0,7.0,619.0,101.0,1433.0
Thanh Hóa,2019,48.0,641.0,10.0,594.0,86.0,1379.0
Thanh Hóa,2020,68.0,614.0,9.0,561.0,88.0,1340.0
Thanh Hóa,2021,72.0,601.0,12.0,548.0,87.0,1320.0
Thái Bình,2002,,293.0,,281.0,39.0,613.0
Thái Bình,2003,,293.0,,276.0,39.0,608.0
Thái Bình,2004,,293.0,,276.0,39.0,608.0
Thái Bình,2005,,294.0,,276.0,39.0,609.0
Thái Bình,2006,,294.0,,276.0,40.0,610.0
Thái Bình,2007,,294.0,,274.0,41.0,609.0
Thái Bình,2008,,293.0,,274.0,41.0,608.0
Thái Bình,2009,,293.0,,272.0,41.0,606.0
Thái Bình,2010,,293.0,,270.0,40.0,603.0
Thái Bình,2011,,293.0,,271.0,40.0,604.0
Thái Bình,2012,,293.0,,271.0,40.0,604.0
Thái Bình,2013,,295.0,,271.0,40.0,606.0
Thái Bình,2014,,295.0,,271.0,39.0,605.0
Thái Bình,2015,,295.0,,269.0,39.0,603.0
Thái Bình,2016,,295.0,,267.0,39.0,601.0
Thái Bình,2017,,295.0,,267.0,39.0,601.0
Thái Bình,2019,166.0,119.0,,107.0,39.0,431.0
Thái Bình,2020,167.0,120.0,0.0,106.0,39.0,432.0
Thái Bình,2021,167.0,120.0,0.0,106.0,39.0,432.0
Thái Nguyên,2002,,222.0,3.0,173.0,21.0,419.0
Thái Nguyên,2003,,223.0,4.0,178.0,23.0,428.0
Thái Nguyên,2004,,226.0,3.0,179.0,23.0,431.0
Thái Nguyên,2005,,225.0,3.0,179.0,24.0,431.0
Thái Nguyên,2006,1.0,227.0,3.0,179.0,26.0,436.0
Thái Nguyên,2007,1.0,226.0,3.0,178.0,27.0,435.0
Thái Nguyên,2008,,226.0,,180.0,32.0,438.0
Thái Nguyên,2009,,227.0,,181.0,33.0,441.0
Thái Nguyên,2010,,226.0,,181.0,32.0,439.0
Thái Nguyên,2011,3.0,225.0,3.0,178.0,31.0,440.0
Thái Nguyên,2012,3.0,225.0,2.0,181.0,30.0,441.0
Thái Nguyên,2013,3.0,226.0,2.0,183.0,30.0,444.0
Thái Nguyên,2014,6.0,226.0,2.0,182.0,29.0,445.0
Thái Nguyên,2015,6.0,226.0,2.0,183.0,29.0,446.0
Thái Nguyên,2016,6.0,227.0,2.0,183.0,29.0,447.0
Thái Nguyên,2017,6.0,228.0,1.0,184.0,31.0,450.0
Thái Nguyên,2019,11.0,219.0,1.0,181.0,32.0,444.0
Thái Nguyên,2020,15.0,214.0,1.0,179.0,32.0,441.0
Thái Nguyên,2021,14.0,213.0,1.0,179.0,32.0,439.0
Thừa Thiên Huế,2002,4.0,234.0,7.0,89.0,21.0,355.0
Thừa Thiên Huế,2003,4.0,230.0,5.0,91.0,22.0,352.0
Thừa Thiên Huế,2004,3.0,233.0,4.0,94.0,25.0,359.0
Thừa Thiên Huế,2005,,235.0,3.0,99.0,26.0,363.0
Thừa Thiên Huế,2006,,234.0,3.0,104.0,27.0,368.0
Thừa Thiên Huế,2007,,235.0,8.0,103.0,31.0,377.0
Thừa Thiên Huế,2008,4.0,232.0,8.0,105.0,31.0,380.0
Thừa Thiên Huế,2009,9.0,228.0,5.0,111.0,34.0,387.0
Thừa Thiên Huế,2010,9.0,229.0,4.0,115.0,36.0,393.0
Thừa Thiên Huế,2011,11.0,226.0,4.0,117.0,38.0,396.0
Thừa Thiên Huế,2012,11.0,227.0,3.0,120.0,38.0,399.0
Thừa Thiên Huế,2013,12.0,225.0,3.0,120.0,37.0,397.0
Thừa Thiên Huế,2014,12.0,219.0,3.0,119.0,37.0,390.0
Thừa Thiên Huế,2015,12.0,216.0,3.0,119.0,37.0,387.0
Thừa Thiên Huế,2016,12.0,216.0,2.0,120.0,38.0,388.0
Thừa Thiên Huế,2017,12.0,215.0,2.0,120.0,38.0,387.0
Thừa Thiên Huế,2019,15.0,200.0,1.0,117.0,36.0,369.0
Thừa Thiên Huế,2020,20.0,195.0,2.0,112.0,36.0,365.0
