Đối tượng,Cấp học,Năm,Số lượng,Chỉ số phát triển (%)
Giáo viên,Tiểu học, 2013-2014,386.9,101.4
Giáo viên,Tiểu học, 2021-2022,382.525,99.42506179546
Giáo viên,Tiểu học,1995 -1996,298.9,103.7
Giáo viên,Tiểu học,1996 - 1997,311.5,104.2
Giáo viên,Tiểu học,1997 - 1998,333.1,106.9
Giáo viên,Tiểu học,1998 - 1999,346.0,103.9
Giáo viên,Tiểu học,1999 - 2000,351.3,101.5
Giáo viên,Tiểu học,2000 - 2001,355.9,101.3
Giáo viên,Tiểu học,2001 - 2002,359.9,101.1
Giáo viên,Tiểu học,2002 - 2003,363.1,100.9
Giáo viên,Tiểu học,2003 - 2004,366.2,100.9
Giáo viên,Tiểu học,2004 - 2005,362.4,99.0
Giáo viên,Tiểu học,2005-2006,354.8,97.9
Giáo viên,Tiểu học,2006-2007,349.5,98.5
Giáo viên,Tiểu học,2007-2008,348.7,99.8
Giáo viên,Tiểu học,2008-2009,349.7,100.3
Giáo viên,Tiểu học,2009-2010,355.2,101.6
Giáo viên,Tiểu học,2010-2011,365.8,103.0
Giáo viên,Tiểu học,2011-2012,366.0,100.1
Giáo viên,Tiểu học,2012-2013,381.4,104.2
Giáo viên,Tiểu học,2014-2015,392.1,101.3
Giáo viên,Tiểu học,2015-2016,396.853,101.202898994227
Giáo viên,Tiểu học,2016-2017,397.098,100.061735705664
Giáo viên,Tiểu học,2017-2018,396.6,99.87459015155
Giáo viên,Tiểu học,2018-2019,390.7,98.51235501765
Giáo viên,Tiểu học,2019-2020,377.876,96.717686204249
Giáo viên,Tiểu học,2020-2021,384.737,101.815674983328
Giáo viên,Tiểu học,2022-2023,379.2,99.13077576629
Giáo viên,Tiểu học,Sơ bộ 2023-2024,381.8,100.685654008439
Giáo viên,Trung học cơ sở, 2013-2014,315.6,100.1
Giáo viên,Trung học cơ sở, 2021-2022,285.305,99.524537095176
Giáo viên,Trung học cơ sở,1995 -1996,154.4,108.6
Giáo viên,Trung học cơ sở,1996 - 1997,167.0,108.2
Giáo viên,Trung học cơ sở,1997 - 1998,184.2,110.3
Giáo viên,Trung học cơ sở,1998 - 1999,202.7,110.0
Giáo viên,Trung học cơ sở,1999 - 2000,216.2,106.7
Giáo viên,Trung học cơ sở,2000 - 2001,233.8,108.1
Giáo viên,Trung học cơ sở,2001 - 2002,254.1,108.7
Giáo viên,Trung học cơ sở,2002 - 2003,271.8,107.0
Giáo viên,Trung học cơ sở,2003 - 2004,290.4,106.8
Giáo viên,Trung học cơ sở,2004 - 2005,302.5,104.2
Giáo viên,Trung học cơ sở,2005-2006,310.2,102.6
Giáo viên,Trung học cơ sở,2006-2007,314.9,101.5
Giáo viên,Trung học cơ sở,2007-2008,317.5,100.8
Giáo viên,Trung học cơ sở,2008-2009,317.0,99.8
Giáo viên,Trung học cơ sở,2009-2010,317.2,100.1
Giáo viên,Trung học cơ sở,2010-2011,316.2,99.7
Giáo viên,Trung học cơ sở,2011-2012,312.0,98.6
Giáo viên,Trung học cơ sở,2012-2013,315.2,101.0
Giáo viên,Trung học cơ sở,2014-2015,312.6,99.0
Giáo viên,Trung học cơ sở,2015-2016,313.526,100.300396369651
Giáo viên,Trung học cơ sở,2016-2017,310.953,99.179334409267
Giáo viên,Trung học cơ sở,2017-2018,306.11,98.442529900017
Giáo viên,Trung học cơ sở,2018-2019,294.097,96.075593740812
Giáo viên,Trung học cơ sở,2019-2020,284.139,96.61404230577
Giáo viên,Trung học cơ sở,2020-2021,286.668,100.890057331095
Giáo viên,Trung học cơ sở,2022-2023,282.7,99.086942044479
Giáo viên,Trung học cơ sở,Sơ bộ 2023-2024,284.8,100.742836929607
Giáo viên,Trung học phổ thông, 2013-2014,152.7,101.2
Giáo viên,Trung học phổ thông, 2021-2022,145.376,100.053682776088
Giáo viên,Trung học phổ thông,1995 -1996,39.4,106.2
Giáo viên,Trung học phổ thông,1996 - 1997,42.5,107.9
Giáo viên,Trung học phổ thông,1997 - 1998,48.3,113.6
Giáo viên,Trung học phổ thông,1998 - 1999,55.8,115.5
Giáo viên,Trung học phổ thông,1999 - 2000,64.2,115.1
Giáo viên,Trung học phổ thông,2000 - 2001,72.0,112.1
Giáo viên,Trung học phổ thông,2001 - 2002,80.1,111.3
Giáo viên,Trung học phổ thông,2002 - 2003,88.6,110.6
Giáo viên,Trung học phổ thông,2003 - 2004,98.8,111.5
Giáo viên,Trung học phổ thông,2004 - 2005,106.1,107.4
Giáo viên,Trung học phổ thông,2005-2006,115.5,108.9
Giáo viên,Trung học phổ thông,2006-2007,125.2,108.4
Giáo viên,Trung học phổ thông,2007-2008,134.4,107.3
Giáo viên,Trung học phổ thông,2008-2009,140.2,104.3
Giáo viên,Trung học phổ thông,2009-2010,146.3,104.4
Giáo viên,Trung học phổ thông,2010-2011,148.9,101.8
Giáo viên,Trung học phổ thông,2011-2012,150.1,100.8
Giáo viên,Trung học phổ thông,2012-2013,150.9,100.5
Giáo viên,Trung học phổ thông,2014-2015,152.0,99.6
Giáo viên,Trung học phổ thông,2015-2016,150.9,99.271744064418
Giáo viên,Trung học phổ thông,2016-2017,150.721,99.881378396289
Giáo viên,Trung học phổ thông,2017-2018,150.288,99.712714220314
Giáo viên,Trung học phổ thông,2018-2019,141.853,94.387442776536
Giáo viên,Trung học phổ thông,2019-2020,142.494,100.451876238077
Giáo viên,Trung học phổ thông,2020-2021,145.298,101.967802153073
Giáo viên,Trung học phổ thông,2022-2023,146.0,100.429231785164
Giáo viên,Trung học phổ thông,Sơ bộ 2023-2024,147.0,100.684931506849
Giáo viên,Tổng số, 2013-2014,855.2,100.9
Giáo viên,Tổng số, 2021-2022,813.206,99.571814968232
Giáo viên,Tổng số,1995 -1996,492.7,105.4
Giáo viên,Tổng số,1996 - 1997,521.0,105.7
Giáo viên,Tổng số,1997 - 1998,565.6,108.6
Giáo viên,Tổng số,1998 - 1999,604.5,106.9
Giáo viên,Tổng số,1999 - 2000,631.7,104.5
Giáo viên,Tổng số,2000 - 2001,661.7,104.7
Giáo viên,Tổng số,2001 - 2002,694.1,104.9
Giáo viên,Tổng số,2002 - 2003,723.5,104.2
Giáo viên,Tổng số,2003 - 2004,755.4,104.4
Giáo viên,Tổng số,2004 - 2005,771.0,102.1
Giáo viên,Tổng số,2005-2006,780.5,101.2
Giáo viên,Tổng số,2006-2007,789.6,101.2
Giáo viên,Tổng số,2007-2008,800.6,101.4
Giáo viên,Tổng số,2008-2009,806.9,100.8
Giáo viên,Tổng số,2009-2010,818.7,101.5
Giáo viên,Tổng số,2010-2011,830.9,101.5
Giáo viên,Tổng số,2011-2012,828.1,99.7
Giáo viên,Tổng số,2012-2013,847.5,102.3
Giáo viên,Tổng số,2014-2015,856.7,100.2
Giáo viên,Tổng số,2015-2016,861.279,100.530972418382
Giáo viên,Tổng số,2016-2017,858.772,99.708921267092
Giáo viên,Tổng số,2017-2018,852.998,99.327644590182
Giáo viên,Tổng số,2018-2019,826.65,96.911129920586
Giáo viên,Tổng số,2019-2020,804.509,97.321599225791
Giáo viên,Tổng số,2020-2021,816.703,101.515707095881
Giáo viên,Tổng số,2022-2023,807.9,99.347520800388
Giáo viên,Tổng số,Sơ bộ 2023-2024,813.6,100.705532862978
Học sinh,Tiểu học, 2013-2014,7435.6,103.2
Học sinh,Tiểu học, 2021-2022,9212.036,103.681185427425
Học sinh,Tiểu học,1995 -1996,10228.8,102.0
Học sinh,Tiểu học,1996 - 1997,10352.7,101.2
Học sinh,Tiểu học,1997 - 1998,10383.6,100.3
Học sinh,Tiểu học,1998 - 1999,10223.9,98.5
Học sinh,Tiểu học,1999 - 2000,10033.5,98.1
Học sinh,Tiểu học,2000 - 2001,9741.1,97.1
Học sinh,Tiểu học,2001 - 2002,9315.3,95.6
Học sinh,Tiểu học,2002 - 2003,8815.7,94.6
Học sinh,Tiểu học,2003 - 2004,8346.0,94.7
Học sinh,Tiểu học,2004 - 2005,7744.8,92.8
Học sinh,Tiểu học,2005-2006,7304.0,94.3
Học sinh,Tiểu học,2006-2007,7029.4,96.2
Học sinh,Tiểu học,2007-2008,6860.3,97.6
Học sinh,Tiểu học,2008-2009,6731.6,98.1
Học sinh,Tiểu học,2009-2010,6908.0,102.6
Học sinh,Tiểu học,2010-2011,7043.3,102.0
Học sinh,Tiểu học,2011-2012,7101.0,100.8
Học sinh,Tiểu học,2012-2013,7202.8,101.4
Học sinh,Tiểu học,2014-2015,7543.7,101.5
Học sinh,Tiểu học,2015-2016,7790.009,103.2650953776
Học sinh,Tiểu học,2016-2017,7801.56,100.148279674645
Học sinh,Tiểu học,2017-2018,8041.842,103.079922477043
Học sinh,Tiểu học,2018-2019,8506.562,105.778775559132
Học sinh,Tiểu học,2019-2020,8718.356,102.489772013653
Học sinh,Tiểu học,2020-2021,8884.964,101.911002487166
Học sinh,Tiểu học,2022-2023,9192.7,99.79010069001
Học sinh,Tiểu học,Sơ bộ 2023-2024,8901.0,96.826829984662
Học sinh,Trung học cơ sở, 2013-2014,4932.4,101.3
Học sinh,Trung học cơ sở, 2021-2022,5927.42,100.287576709823
Học sinh,Trung học cơ sở,1995 -1996,4312.7,117.9
Học sinh,Trung học cơ sở,1996 - 1997,4839.7,112.2
Học sinh,Trung học cơ sở,1997 - 1998,5204.6,107.5
Học sinh,Trung học cơ sở,1998 - 1999,5514.3,106.0
Học sinh,Trung học cơ sở,1999 - 2000,5694.8,103.3
Học sinh,Trung học cơ sở,2000 - 2001,5863.6,103.0
Học sinh,Trung học cơ sở,2001 - 2002,6259.1,106.7
Học sinh,Trung học cơ sở,2002 - 2003,6429.7,102.7
Học sinh,Trung học cơ sở,2003 - 2004,6569.8,102.2
Học sinh,Trung học cơ sở,2004 - 2005,6616.7,100.7
Học sinh,Trung học cơ sở,2005-2006,6371.3,96.3
Học sinh,Trung học cơ sở,2006-2007,6152.0,96.6
Học sinh,Trung học cơ sở,2007-2008,5803.3,94.3
Học sinh,Trung học cơ sở,2008-2009,5468.7,94.2
Học sinh,Trung học cơ sở,2009-2010,5163.2,94.4
Học sinh,Trung học cơ sở,2010-2011,4945.2,95.8
Học sinh,Trung học cơ sở,2011-2012,4926.4,99.6
Học sinh,Trung học cơ sở,2012-2013,4869.8,98.9
Học sinh,Trung học cơ sở,2014-2015,5098.8,103.4
Học sinh,Trung học cơ sở,2015-2016,5138.656,100.781081149989
Học sinh,Trung học cơ sở,2016-2017,5235.524,101.885084348904
Học sinh,Trung học cơ sở,2017-2018,5373.639,102.638035848943
Học sinh,Trung học cơ sở,2018-2019,5455.875,101.530359594308
Học sinh,Trung học cơ sở,2019-2020,5599.918,102.640144798039
Học sinh,Trung học cơ sở,2020-2021,5910.423,105.544813334767
Học sinh,Trung học cơ sở,2022-2023,6054.3,102.140560311232
Học sinh,Trung học cơ sở,Sơ bộ 2023-2024,6543.6,108.081859174471
Học sinh,Trung học phổ thông, 2013-2014,2532.7,94.7
Học sinh,Trung học phổ thông, 2021-2022,2781.684,101.091490560209
Học sinh,Trung học phổ thông,1995 -1996,1019.5,120.9
Học sinh,Trung học phổ thông,1996 - 1997,1155.6,113.3
Học sinh,Trung học phổ thông,1997 - 1998,1382.0,119.6
Học sinh,Trung học phổ thông,1998 - 1999,1652.9,119.6
Học sinh,Trung học phổ thông,1999 - 2000,1957.0,118.4
Học sinh,Trung học phổ thông,2000 - 2001,2171.4,111.0
Học sinh,Trung học phổ thông,2001 - 2002,2301.2,106.0
Học sinh,Trung học phổ thông,2002 - 2003,2454.2,106.6
Học sinh,Trung học phổ thông,2003 - 2004,2589.6,105.5
Học sinh,Trung học phổ thông,2004 - 2005,2761.1,106.6
Học sinh,Trung học phổ thông,2005-2006,2975.3,107.8
Học sinh,Trung học phổ thông,2006-2007,3075.2,103.4
Học sinh,Trung học phổ thông,2007-2008,3021.6,98.3
Học sinh,Trung học phổ thông,2008-2009,2927.6,96.9
Học sinh,Trung học phổ thông,2009-2010,2840.9,97.0
Học sinh,Trung học phổ thông,2010-2011,2804.3,98.7
Học sinh,Trung học phổ thông,2011-2012,2755.2,98.2
Học sinh,Trung học phổ thông,2012-2013,2674.5,97.1
Học sinh,Trung học phổ thông,2014-2015,2439.9,96.3
Học sinh,Trung học phổ thông,2015-2016,2425.13,99.393873321205
Học sinh,Trung học phổ thông,2016-2017,2477.175,102.146070519931
Học sinh,Trung học phổ thông,2017-2018,2508.564,101.267128886736
Học sinh,Trung học phổ thông,2018-2019,2563.431,102.187187570259
Học sinh,Trung học phổ thông,2019-2020,2648.697,103.326245176874
Học sinh,Trung học phổ thông,2020-2021,2751.6,103.886930064103
Học sinh,Trung học phổ thông,2022-2023,2880.5,103.552380500445
Học sinh,Trung học phổ thông,Sơ bộ 2023-2024,2989.0,103.766707168894
Học sinh,Tổng số, 2013-2014,14900.7,101.0
Học sinh,Tổng số, 2021-2022,17921.14,102.132000975435
Học sinh,Tổng số,1995 -1996,15561.0,107.1
Học sinh,Tổng số,1996 - 1997,16348.0,105.1
Học sinh,Tổng số,1997 - 1998,16970.2,103.8
Học sinh,Tổng số,1998 - 1999,17391.1,102.5
Học sinh,Tổng số,1999 - 2000,17685.3,101.7
Học sinh,Tổng số,2000 - 2001,17776.1,100.5
Học sinh,Tổng số,2001 - 2002,17875.6,100.6
Học sinh,Tổng số,2002 - 2003,17699.6,99.0
Học sinh,Tổng số,2003 - 2004,17505.4,98.9
Học sinh,Tổng số,2004 - 2005,17122.6,97.8
Học sinh,Tổng số,2005-2006,16650.6,97.2
Học sinh,Tổng số,2006-2007,16256.6,97.6
Học sinh,Tổng số,2007-2008,15685.2,96.5
Học sinh,Tổng số,2008-2009,15127.9,96.4
Học sinh,Tổng số,2009-2010,14912.1,98.6
Học sinh,Tổng số,2010-2011,14792.8,99.2
Học sinh,Tổng số,2011-2012,14782.6,99.9
Học sinh,Tổng số,2012-2013,14747.1,99.8
Học sinh,Tổng số,2014-2015,15082.4,101.2
Học sinh,Tổng số,2015-2016,15353.795,101.799543454048
Học sinh,Tổng số,2016-2017,15514.259,101.045109694379
Học sinh,Tổng số,2017-2018,15924.045,102.64135077286
Học sinh,Tổng số,2018-2019,16525.868,103.779334961688
Học sinh,Tổng số,2019-2020,16966.971,102.66916690851
Học sinh,Tổng số,2020-2021,17547.037,103.418795258152
Học sinh,Tổng số,2022-2023,18127.5,101.151489246778
Học sinh,Tổng số,Sơ bộ 2023-2024,18433.6,101.688594676596
Lớp,Tiểu học, 2013-2014,279.0,101.4
Lớp,Tiểu học, 2021-2022,288.541,101.66445279881
Lớp,Tiểu học,1995 -1996,310.3,103.7
Lớp,Tiểu học,1996 - 1997,317.9,102.4
Lớp,Tiểu học,1997 - 1998,323.4,101.7
Lớp,Tiểu học,1998 - 1999,327.3,101.2
Lớp,Tiểu học,1999 - 2000,322.4,98.5
Lớp,Tiểu học,2000 - 2001,320.1,99.3
Lớp,Tiểu học,2001 - 2002,314.5,98.3
Lớp,Tiểu học,2002 - 2003,308.8,98.2
Lớp,Tiểu học,2003 - 2004,299.4,97.0
Lớp,Tiểu học,2004 - 2005,288.9,96.5
Lớp,Tiểu học,2005-2006,276.6,95.7
Lớp,Tiểu học,2006-2007,270.2,97.7
Lớp,Tiểu học,2007-2008,266.4,98.6
Lớp,Tiểu học,2008-2009,265.1,99.5
Lớp,Tiểu học,2009-2010,268.1,101.1
Lớp,Tiểu học,2010-2011,272.4,101.6
Lớp,Tiểu học,2011-2012,274.7,100.8
Lớp,Tiểu học,2012-2013,275.0,100.1
Lớp,Tiểu học,2014-2015,279.9,100.3
Lớp,Tiểu học,2015-2016,283.49,101.29635320265
Lớp,Tiểu học,2016-2017,277.526,97.896222088963
Lớp,Tiểu học,2017-2018,279.97,100.880638210474
Lớp,Tiểu học,2018-2019,278.955,99.637461156552
Lớp,Tiểu học,2019-2020,279.646,100.247710204155
Lớp,Tiểu học,2020-2021,283.817,101.491528575413
Lớp,Tiểu học,2022-2023,285.8,99.050048346682
Lớp,Tiểu học,Sơ bộ 2023-2024,280.3,98.075577326802
Lớp,Trung học cơ sở, 2013-2014,147.4,101.4
Lớp,Trung học cơ sở, 2021-2022,159.062,100.703382694633
Lớp,Trung học cơ sở,1995 -1996,104.3,114.6
Lớp,Trung học cơ sở,1996 - 1997,117.2,112.4
Lớp,Trung học cơ sở,1997 - 1998,124.9,106.6
Lớp,Trung học cơ sở,1998 - 1999,133.4,106.8
Lớp,Trung học cơ sở,1999 - 2000,139.5,104.6
Lớp,Trung học cơ sở,2000 - 2001,144.4,103.5
Lớp,Trung học cơ sở,2001 - 2002,153.7,106.4
Lớp,Trung học cơ sở,2002 - 2003,161.3,104.9
Lớp,Trung học cơ sở,2003 - 2004,165.7,102.7
Lớp,Trung học cơ sở,2004 - 2005,170.9,103.1
Lớp,Trung học cơ sở,2005-2006,167.5,98.0
Lớp,Trung học cơ sở,2006-2007,163.8,97.8
Lớp,Trung học cơ sở,2007-2008,160.2,97.8
Lớp,Trung học cơ sở,2008-2009,154.3,96.3
Lớp,Trung học cơ sở,2009-2010,150.0,97.2
Lớp,Trung học cơ sở,2010-2011,151.2,100.8
Lớp,Trung học cơ sở,2011-2012,147.1,97.3
Lớp,Trung học cơ sở,2012-2013,145.4,98.8
Lớp,Trung học cơ sở,2014-2015,150.7,102.2
Lớp,Trung học cơ sở,2015-2016,153.438,101.821584280624
Lớp,Trung học cơ sở,2016-2017,151.669,98.847091333307
Lớp,Trung học cơ sở,2017-2018,153.58,101.259980615683
Lớp,Trung học cơ sở,2018-2019,151.9,98.950384164605
Lớp,Trung học cơ sở,2019-2020,153.322,100.8909770478
Lớp,Trung học cơ sở,2020-2021,157.951,103.019136197023
Lớp,Trung học cơ sở,2022-2023,160.5,100.904049993084
Lớp,Trung học cơ sở,Sơ bộ 2023-2024,168.3,104.859813084112
Lớp,Trung học phổ thông, 2013-2014,64.4,97.7
Lớp,Trung học phổ thông, 2021-2022,69.8,100.777333082891
Lớp,Trung học phổ thông,1995 -1996,21.8,114.1
Lớp,Trung học phổ thông,1996 - 1997,24.6,112.8
Lớp,Trung học phổ thông,1997 - 1998,28.6,116.3
Lớp,Trung học phổ thông,1998 - 1999,33.9,118.5
Lớp,Trung học phổ thông,1999 - 2000,39.3,115.9
Lớp,Trung học phổ thông,2000 - 2001,45.1,114.8
Lớp,Trung học phổ thông,2001 - 2002,50.2,111.3
Lớp,Trung học phổ thông,2002 - 2003,52.1,103.8
Lớp,Trung học phổ thông,2003 - 2004,55.8,107.1
Lớp,Trung học phổ thông,2004 - 2005,59.9,107.3
Lớp,Trung học phổ thông,2005-2006,64.6,107.8
Lớp,Trung học phổ thông,2006-2007,67.2,104.0
Lớp,Trung học phổ thông,2007-2008,68.6,102.1
Lớp,Trung học phổ thông,2008-2009,66.8,97.4
Lớp,Trung học phổ thông,2009-2010,66.4,99.4
Lớp,Trung học phổ thông,2010-2011,66.9,100.7
Lớp,Trung học phổ thông,2011-2012,66.3,99.0
Lớp,Trung học phổ thông,2012-2013,65.9,99.4
Lớp,Trung học phổ thông,2014-2015,63.9,99.2
Lớp,Trung học phổ thông,2015-2016,64.105,100.314534301452
Lớp,Trung học phổ thông,2016-2017,65.094,101.542781374308
Lớp,Trung học phổ thông,2017-2018,65.8,101.084585368851
Lớp,Trung học phổ thông,2018-2019,66.419,100.940729483283
Lớp,Trung học phổ thông,2019-2020,67.525,101.665186166609
Lớp,Trung học phổ thông,2020-2021,69.211,102.496853017401
Lớp,Trung học phổ thông,2022-2023,71.5,102.43553008596
Lớp,Trung học phổ thông,Sơ bộ 2023-2024,73.9,103.356643356643
Lớp,Tổng số, 2013-2014,490.8,100.9
Lớp,Tổng số, 2021-2022,517.352,101.247213681971
Lớp,Tổng số,1995 -1996,436.4,106.6
Lớp,Tổng số,1996 - 1997,459.7,105.3
Lớp,Tổng số,1997 - 1998,476.9,103.7
Lớp,Tổng số,1998 - 1999,494.6,103.7
Lớp,Tổng số,1999 - 2000,501.2,101.3
Lớp,Tổng số,2000 - 2001,509.6,101.7
Lớp,Tổng số,2001 - 2002,518.4,101.7
Lớp,Tổng số,2002 - 2003,522.2,100.7
Lớp,Tổng số,2003 - 2004,520.9,99.8
Lớp,Tổng số,2004 - 2005,519.7,99.8
Lớp,Tổng số,2005-2006,508.7,97.9
Lớp,Tổng số,2006-2007,501.2,98.5
Lớp,Tổng số,2007-2008,495.2,98.8
Lớp,Tổng số,2008-2009,486.2,98.2
Lớp,Tổng số,2009-2010,484.5,99.7
Lớp,Tổng số,2010-2011,490.5,101.2
Lớp,Tổng số,2011-2012,488.1,99.5
Lớp,Tổng số,2012-2013,486.3,99.6
Lớp,Tổng số,2014-2015,494.5,100.7
Lớp,Tổng số,2015-2016,501.033,101.32953389462
Lớp,Tổng số,2016-2017,494.289,98.653980875511
Lớp,Tổng số,2017-2018,499.35,101.023894927866
Lớp,Tổng số,2018-2019,497.342,99.597877240413
Lớp,Tổng số,2019-2020,500.4,100.633568047742
Lớp,Tổng số,2020-2021,510.979,102.095134197681
Lớp,Tổng số,2022-2023,517.8,100.086594813589
Lớp,Tổng số,Sơ bộ 2023-2024,522.5,100.907686365392
